58aca000a0000044	58aca000a0000044202012181659	a	0	A	{}	LSBB_4	2020-12-18	0.766036	33.0587	170.2	0.612	14		64				-0.0512282		30.32	115.549	
58aca000a0000044	58aca000a0000044202012181659	a	1	A	{}	LSBB_4	2020-12-18	0.786178	15.5163	169.3	0.706	15		64				-0.0572819		32.3915	138.697	
5cada000a00000aa	5cada000a00000aa202012221549	b	0	A	{}	LSBB_21	2020-12-22	0.793741	24.8606	169.4	0.559	19		64				-0.0482744		27.1028	77.932	
5cada000a00000aa	5cada000a00000aa202012221549	b	1	B	{63}	LSBB_21	2020-12-22	0.791237	30.4351	170.3	1.169	13		63				-0.0549593		31.1707	91.2657	
68aba000a0000015	68aba000a0000015202012211432	c	0	E	{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63}	LSBB_12	2020-12-21	0.897316	155.472					55				-0.128557		31.1939	123.858	
68aba000a0000015	68aba000a0000015202012211432	c	1	A	{}	LSBB_12	2020-12-21	0.763496	31.5106	168.7	0.631	15		64				-0.0546484		31.5768	107.132	
749fa000a00000e4	749fa000a00000e4202012211452	a	0	A	{}	LSBB_10	2020-12-21	0.757792	31.6976	162.7	0.545	17		64				-0.0534617		32.4053	105.543	
749fa000a00000e4	749fa000a00000e4202012211452	a	1	A	{}	LSBB_10	2020-12-21	0.765392	27.4769	172.4	0.617	12		64				-0.0621877		31.8217	136.014	
78a2a000a00000c0	78a2a000a00000c0202012221606	b	0	A	{}	LSBB_16	2020-12-22	0.756828	33.7462	163.4	0.458	13		64				-0.0551917		31.9308	80.8004	
78a2a000a00000c0	78a2a000a00000c0202012221606	b	1	B	{52}	LSBB_16	2020-12-22	0.808521	35.3962	173.4	0.708	16		63				-0.0615325		32.4518	93.4248	
